title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
Agency Information Collection Activities: Proposed Collection; Comment Request; Public Assistance Program,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on an extension, with change, of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning information collected for the Public Assistance (PA) program eligibility determinations, grants management, and compliance with Federal laws and regulations.",87 FR 76499, 2022-27082,https://www.federalregister.gov/documents/2022/12/14/2022-27082/agency-information-collection-activities-proposed-collection-comment-request-public-assistance,https://www.govinfo.gov/content/pkg/FR-2022-12-14/pdf/2022-27082.pdf,12/14/2022
Suspension of Community Eligibility,Rule,Homeland Security Department; Federal Emergency Management Agency,"This rule identifies communities where the sale of flood insurance has been authorized under the National Flood Insurance Program (NFIP) that are scheduled for suspension on the effective dates listed within this rule because of noncompliance with the floodplain management requirements of the program. If the Federal Emergency Management Agency (FEMA) receives documentation that the community has adopted the required floodplain management measures prior to the effective suspension date given in this rule, the suspension will not occur and a notice of this will be provided by publication in the Federal Register on a subsequent date. Also, information identifying the current participation status of a community can be obtained from FEMA's Community Status Book (CSB). The CSB is available at https:// www.fema.gov/national-flood-insurance-program-community-status-book.",85 FR 18129, 2020-06495,https://www.federalregister.gov/documents/2020/04/01/2020-06495/suspension-of-community-eligibility,https://www.govinfo.gov/content/pkg/FR-2020-04-01/pdf/2020-06495.pdf,04/01/2020
Removal of Environmental Considerations Regulations,Rule,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA), a component of the Department of Homeland Security (DHS), is removing its environmental considerations regulations and replacing the regulations with a new Directive and Instruction on environmental planning and historical preservation requirements. DHS instituted procedures for environmental considerations that apply Department-wide (including FEMA) in a new Directive and Instruction. FEMA is issuing supplemental procedures to the new DHS Directive and Instruction; a Notice of Availability for these supplemental procedures appears in the Notice section of today's edition of the Federal Register.",81 FR 56514, 2016-19536,https://www.federalregister.gov/documents/2016/08/22/2016-19536/removal-of-environmental-considerations-regulations,https://www.govinfo.gov/content/pkg/FR-2016-08-22/pdf/2016-19536.pdf,08/22/2016
"Update of FEMA's Public Assistance and Fire Management Assistance Grant Regulations To Reflect the Terminology of Uniform Administrative Requirements, Cost Principles, and Audit Requirements",Rule,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) is amending its Public Assistance and Fire Management Assistance Grant regulations to update the terms it uses to describe grantees and subgrantees, to reflect the terminology used in the Office of Management and Budget (OMB) Uniform Guidance on Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards.",82 FR 40, 2016-31380,https://www.federalregister.gov/documents/2017/01/03/2016-31380/update-of-femas-public-assistance-and-fire-management-assistance-grant-regulations-to-reflect-the,https://www.govinfo.gov/content/pkg/FR-2017-01-03/pdf/2016-31380.pdf,01/03/2017
"Request for Information on the National Flood Insurance Program's Floodplain Management Standards for Land Management and Use, and an Assessment of the Program's Impact on Threatened and Endangered Species and Their Habitats",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) is issuing this Request for Information to receive the public's input on two topics. First, FEMA seeks the public's input on revising the National Flood Insurance Program's (NFIP) floodplain management standards for land management and use regulations to better align with the current understanding of flood risk and flood risk reduction approaches. Specifically, FEMA is seeking input from the public on the floodplain management standards that communities should adopt to result in safer, stronger, and more resilient communities. Additionally, FEMA seeks input on how the NFIP can better promote protection of and minimize any adverse impact to threatened and endangered species, and their habitats.",86 FR 56713, 2021-22152,https://www.federalregister.gov/documents/2021/10/12/2021-22152/request-for-information-on-the-national-flood-insurance-programs-floodplain-management-standards-for,https://www.govinfo.gov/content/pkg/FR-2021-10-12/pdf/2021-22152.pdf,10/12/2021
Public Assistance Appeals and Arbitrations,Rule,Homeland Security Department; Federal Emergency Management Agency,This final rule implements the new right of arbitration authorized by the Disaster Recovery Reform Act of 2018 (DRRA) and revises the Federal Emergency Management Agency's regulations regarding first and second Public Assistance appeals.,86 FR 45660, 2021-17213,https://www.federalregister.gov/documents/2021/08/16/2021-17213/public-assistance-appeals-and-arbitrations,https://www.govinfo.gov/content/pkg/FR-2021-08-16/pdf/2021-17213.pdf,08/16/2021
Request for Information on the National Flood Insurance Program's Community Rating System Redesign Effort,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) is issuing this Request for Information (RFI) to receive the public's input on potential future changes to the Community Rating System (CRS) under the National Flood Insurance Program (NFIP). This RFI seeks further input on suggested alternative program features and approaches for a redesigned CRS program, based upon public input from the August 23, 2021 ""Request for Information on the National Flood Insurance Program's Community Rating System"" published in the Federal Register. FEMA will host virtual public meetings at the times and dates listed below.",89 FR 56889, 2024-15271,https://www.federalregister.gov/documents/2024/07/11/2024-15271/request-for-information-on-the-national-flood-insurance-programs-community-rating-system-redesign,https://www.govinfo.gov/content/pkg/FR-2024-07-11/pdf/2024-15271.pdf,07/11/2024
Agency Information Collection Activities; Proposed Collection; Comment Request: Community Drill Day Registration,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on a new information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning the online registration process for the FEMA Community Drill Day.",78 FR 23276, 2013-09077,https://www.federalregister.gov/documents/2013/04/18/2013-09077/agency-information-collection-activities-proposed-collection-comment-request-community-drill-day,https://www.govinfo.gov/content/pkg/FR-2013-04-18/pdf/2013-09077.pdf,04/18/2013
National Advisory Council; Meeting,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency's National Advisory Council (NAC) will meet November 2 and 3, 2021. The meeting will be open to the public through virtual means.",86 FR 56284, 2021-22058,https://www.federalregister.gov/documents/2021/10/08/2021-22058/national-advisory-council-meeting,https://www.govinfo.gov/content/pkg/FR-2021-10-08/pdf/2021-22058.pdf,10/08/2021
Agency Information Collection Activities: Submission for OMB Review; Comment Request; America's PrepareAthon! National Day of Action Event Registration,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. The submission will describe the nature of the information collection, the categories of respondents, the estimated burden (i.e., the time, effort and resources used by respondents to respond) and cost, and the actual data collection instruments FEMA will use.",81 FR 68443, 2016-23946,https://www.federalregister.gov/documents/2016/10/04/2016-23946/agency-information-collection-activities-submission-for-omb-review-comment-request-americas,https://www.govinfo.gov/content/pkg/FR-2016-10-04/pdf/2016-23946.pdf,10/04/2016
Agency Information Collection Activities: Submission for OMB Review; Comment Request,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. The submission will describe the nature of the information collection, the categories of respondents, the estimated burden (i.e., the time, effort and resources used by respondents to respond) and cost, and the actual data collection instruments FEMA will use.",78 FR 53774, 2013-21244,https://www.federalregister.gov/documents/2013/08/30/2013-21244/agency-information-collection-activities-submission-for-omb-review-comment-request,https://www.govinfo.gov/content/pkg/FR-2013-08-30/pdf/2013-21244.pdf,08/30/2013
"Hazardous Fire Risk Reduction, East Bay Hills, CA",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) is extending the comment period on its notice of intent to prepare an Environmental Impact Statement (EIS) evaluating the environmental impacts of funding a combination of hazardous fuel reduction projects within the East Bay Hills area in Alameda and Contra Costa Counties, California.",75 FR 44275, 2010-18484,https://www.federalregister.gov/documents/2010/07/28/2010-18484/hazardous-fire-risk-reduction-east-bay-hills-ca,https://www.govinfo.gov/content/pkg/FR-2010-07-28/pdf/2010-18484.pdf,07/28/2010
Agency Information Collection Activities: Submission for OMB Review; Comment Request; FEMA Inspection and Claims Forms,Notice,Homeland Security Department; Federal Emergency Management Agency,The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. The submission seeks comments concerning the collection of information related to the flood insurance claims process and the housing inspection damage assessment process.,88 FR 10923, 2023-03613,https://www.federalregister.gov/documents/2023/02/22/2023-03613/agency-information-collection-activities-submission-for-omb-review-comment-request-fema-inspection,https://www.govinfo.gov/content/pkg/FR-2023-02-22/pdf/2023-03613.pdf,02/22/2023
Agency Information Collection Activities: Proposed Collection; Comment Request; FEMA Inspection and Claims Forms,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on an extension, with change, of a previously approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning the collection of information related to the flood insurance claims process and the housing inspection damage assessment process.",87 FR 75281, 2022-26614,https://www.federalregister.gov/documents/2022/12/08/2022-26614/agency-information-collection-activities-proposed-collection-comment-request-fema-inspection-and,https://www.govinfo.gov/content/pkg/FR-2022-12-08/pdf/2022-26614.pdf,12/08/2022
Proposed Flood Hazard Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"Comments are requested on proposed flood hazard determinations, which may include additions or modifications of any Base Flood Elevation (BFE), base flood depth, Special Flood Hazard Area (SFHA) boundary or zone designation, or regulatory floodway on the Flood Insurance Rate Maps (FIRMs), and where applicable, in the supporting Flood Insurance Study (FIS) reports for the communities listed in the table below. The purpose of this notice is to seek general information and comment regarding the preliminary FIRM, and where applicable, the FIS report that the Federal Emergency Management Agency (FEMA) has provided to the affected communities. The FIRM and FIS report are the basis of the floodplain management measures that the community is required either to adopt or to show evidence of having in effect in order to qualify or remain qualified for participation in the National Flood Insurance Program (NFIP).",90 FR 59142, 2025-23172,https://www.federalregister.gov/documents/2025/12/18/2025-23172/proposed-flood-hazard-determinations,https://www.govinfo.gov/content/pkg/FR-2025-12-18/pdf/2025-23172.pdf,12/18/2025
Proposed Flood Hazard Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"Comments are requested on proposed flood hazard determinations, which may include additions or modifications of any Base Flood Elevation (BFE), base flood depth, Special Flood Hazard Area (SFHA) boundary or zone designation, or regulatory floodway on the Flood Insurance Rate Maps (FIRMs), and where applicable, in the supporting Flood Insurance Study (FIS) reports for the communities listed in the table below. The purpose of this notice is to seek general information and comment regarding the preliminary FIRM, and where applicable, the FIS report that the Federal Emergency Management Agency (FEMA) has provided to the affected communities. The FIRM and FIS report are the basis of the floodplain management measures that the community is required either to adopt or to show evidence of having in effect in order to qualify or remain qualified for participation in the National Flood Insurance Program (NFIP).",91 FR 2550, 2026-01056,https://www.federalregister.gov/documents/2026/01/21/2026-01056/proposed-flood-hazard-determinations,https://www.govinfo.gov/content/pkg/FR-2026-01-21/pdf/2026-01056.pdf,01/21/2026
Debris Removal: Eligibility of Force Account Labor Straight-Time Costs Under the Public Assistance Program for Hurricane Sandy,Rule,Homeland Security Department; Federal Emergency Management Agency,"This rule finalizes, without change, an interim final rule that published in the Federal Register on November 9, 2012, authorizing reimbursement of force account labor under the Public Assistance Program for debris removal work related to Hurricane Sandy.",79 FR 46190, 2014-18709,https://www.federalregister.gov/documents/2014/08/07/2014-18709/debris-removal-eligibility-of-force-account-labor-straight-time-costs-under-the-public-assistance,https://www.govinfo.gov/content/pkg/FR-2014-08-07/pdf/2014-18709.pdf,08/07/2014
Proposed Flood Hazard Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"Comments are requested on proposed flood hazard determinations, which may include additions or modifications of any Base Flood Elevation (BFE), base flood depth, Special Flood Hazard Area (SFHA) boundary or zone designation, or regulatory floodway on the Flood Insurance Rate Maps (FIRMs), and where applicable, in the supporting Flood Insurance Study (FIS) reports for the communities listed in the table below. The purpose of this notice is to seek general information and comment regarding the preliminary FIRM, and where applicable, the FIS report that the Federal Emergency Management Agency (FEMA) has provided to the affected communities. The FIRM and FIS report are the basis of the floodplain management measures that the community is required either to adopt or to show evidence of having in effect in order to qualify or remain qualified for participation in the National Flood Insurance Program (NFIP).",90 FR 47800, 2025-19211,https://www.federalregister.gov/documents/2025/10/02/2025-19211/proposed-flood-hazard-determinations,https://www.govinfo.gov/content/pkg/FR-2025-10-02/pdf/2025-19211.pdf,10/02/2025
Changes in Flood Hazard Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"This notice lists communities where the addition or modification of Base Flood Elevations (BFEs), base flood depths, Special Flood Hazard Area (SFHA) boundaries or zone designations, or the regulatory floodway (hereinafter referred to as flood hazard determinations), as shown on the Flood Insurance Rate Maps (FIRMs), and where applicable, in the supporting Flood Insurance Study (FIS) reports, prepared by the Federal Emergency Management Agency (FEMA) for each community, is appropriate because of new scientific or technical data. The FIRM, and where applicable, portions of the FIS report, have been revised to reflect these flood hazard determinations through issuance of a Letter of Map Revision (LOMR), in accordance with Federal Regulations. The current effective community number is shown in the table below and must be used for all new policies and renewals.",90 FR 37876, 2025-14874,https://www.federalregister.gov/documents/2025/08/06/2025-14874/changes-in-flood-hazard-determinations,https://www.govinfo.gov/content/pkg/FR-2025-08-06/pdf/2025-14874.pdf,08/06/2025
National Flood Insurance Program Installment Payment Plan,Rule,Homeland Security Department; Federal Emergency Management Agency,"The National Flood Insurance Program (NFIP) is a voluntary program in which interested persons can purchase flood insurance for their property, if it is located in a community that participates in the NFIP by adopting and enforcing a set of minimum floodplain management requirements to reduce future flood damages. FEMA is revising the NFIP's regulations to offer NFIP policyholders the option of paying their annual flood insurance premium in monthly installments.",89 FR 87299, 2024-25213,https://www.federalregister.gov/documents/2024/11/01/2024-25213/national-flood-insurance-program-installment-payment-plan,https://www.govinfo.gov/content/pkg/FR-2024-11-01/pdf/2024-25213.pdf,11/01/2024
Assistance to Firefighters Grant Program-COVID-19 Supplemental Round 2 (AFG-S 2),Notice,Homeland Security Department; Federal Emergency Management Agency,"On March 27, 2020, the President signed into law the Coronavirus Aid, Relief, and Economic Security Act (""CARES Act""). This bill provides $100 million for AFG-S to prevent, prepare for, and respond to coronavirus, domestically or internationally. Specifically, AFG-S funds shall be for the purchase of Personal Protective Equipment (PPE) and related supplies, including reimbursements for previously purchased PPE back to January 1, 2020. On May 12, 2020, FEMA published a Notice of availability announcing the application period for the Fiscal Year (FY) 2020 AFG-S Program which opened on April 28, 2020 and closed on May 15, 2020. By law, at least 25 percent of available AFG-S funds must be awarded to volunteer fire departments and at least another 25 percent must be awarded to combination fire departments. FEMA did not receive enough applications to award at least 25 percent of the available AFG-S funds to volunteer or combination fire departments under that initial application period. As a result, FEMA has opened a second application period for the remaining $31 million available. This second application--or AFG-S 2--is limited to volunteer and combination fire departments to fulfill this requirement. Volunteer and combination fire departments are eligible to apply in this round even if they had a successful application in the first round of AFG-S funding. However, such applications must support new or additional needs or capabilities. Departments that applied in the first round of AFG-S funding but were unsuccessful can reapply to be considered for funding in this round. Applications from the first round of AFG-S funding will not automatically carry forward to this round for consideration. Pursuant to the Federal Fire Prevention and Control Act of 1974, as amended, the Administrator of FEMA is publishing this notice describing the AFG-S 2 application process, deadlines, and award selection criteria. This notice explains the differences, if any, between these guidelines and those recommended by representatives of the national fire service leadership during a Criteria Development meeting, held April 20, 2020. The application period for the FY 2020 AFG-S Program opened on October 6, 2020, and closed on November 13, 2020, and was announced on the AFG website at https://www.fema.gov/ grants/preparedness/firefighters, as well as at http://www.grants.gov.",85 FR 73287, 2020-25330,https://www.federalregister.gov/documents/2020/11/17/2020-25330/assistance-to-firefighters-grant-program-covid-19-supplemental-round-2-afg-s-2,https://www.govinfo.gov/content/pkg/FR-2020-11-17/pdf/2020-25330.pdf,11/17/2020
Notice of Intent To Prepare an Environmental Impact Statement for Oregon,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA), as the lead agency, announces its intent to prepare an Environmental Impact Statement (EIS) for the implementation of the plan for National Flood Insurance Program (NFIP)--Endangered Species Act (ESA) Integration in Oregon. FEMA released a draft of this plan in October 2021. Notice is hereby given that the public scoping process has begun for the preparation of an EIS for the proposed action. The purpose of the scoping process is to solicit public comments regarding the range of issues, information, and analyses relevant to the proposed action, including potential environmental impacts and reasonable alternatives to address in the EIS. This notice also notifies the public that FEMA intends to host in-person and virtual public scoping meetings, host a web-based scoping room to provide additional information to the public, and solicit comments on potential issues, concerns, and reasonable alternatives that FEMA should consider. FEMA is preparing this EIS in compliance with the National Environmental Policy Act (NEPA) of 1969 and the NEPA regulations implemented by the Council on Environmental Quality as of the date of this Notice.",88 FR 13841, 2023-04495,https://www.federalregister.gov/documents/2023/03/06/2023-04495/notice-of-intent-to-prepare-an-environmental-impact-statement-for-oregon,https://www.govinfo.gov/content/pkg/FR-2023-03-06/pdf/2023-04495.pdf,03/06/2023
Changes in Flood Hazard Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"New or modified Base (1-percent annual chance) Flood Elevations (BFEs), base flood depths, Special Flood Hazard Area (SFHA) boundaries or zone designations, and/or regulatory floodways (hereinafter referred to as flood hazard determinations) as shown on the indicated Letter of Map Revision (LOMR) for each of the communities listed in the table below are finalized. Each LOMR revises the Flood Insurance Rate Maps (FIRMs), and in some cases the Flood Insurance Study (FIS) reports, currently in effect for the listed communities.",90 FR 37866, 2025-14873,https://www.federalregister.gov/documents/2025/08/06/2025-14873/changes-in-flood-hazard-determinations,https://www.govinfo.gov/content/pkg/FR-2025-08-06/pdf/2025-14873.pdf,08/06/2025
Changes in Flood Hazard Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"New or modified Base (1-percent annual chance) Flood Elevations (BFEs), base flood depths, Special Flood Hazard Area (SFHA) boundaries or zone designations, and/or regulatory floodways (hereinafter referred to as flood hazard determinations) as shown on the indicated Letter of Map Revision (LOMR) for each of the communities listed in the table below are finalized. Each LOMR revises the Flood Insurance Rate Maps (FIRMs), and in some cases the Flood Insurance Study (FIS) reports, currently in effect for the listed communities.",90 FR 47791, 2025-19207,https://www.federalregister.gov/documents/2025/10/02/2025-19207/changes-in-flood-hazard-determinations,https://www.govinfo.gov/content/pkg/FR-2025-10-02/pdf/2025-19207.pdf,10/02/2025
Hermit's Peak/Calf Canyon Fire Assistance,Rule,Homeland Security Department; Federal Emergency Management Agency,This final rule sets out the procedures for claimants to seek compensation for injury or loss of property resulting from the Hermit's Peak/Calf Canyon Fire.,88 FR 59730, 2023-18457,https://www.federalregister.gov/documents/2023/08/29/2023-18457/hermits-peakcalf-canyon-fire-assistance,https://www.govinfo.gov/content/pkg/FR-2023-08-29/pdf/2023-18457.pdf,08/29/2023
Assistance to Firefighters Grant Program-COVID-19 Supplemental (AFG-S),Notice,Homeland Security Department; Federal Emergency Management Agency,"On March 27, 2020, the President signed into law the Coronavirus Aid, Relief, and Economic Security Act (""CARES Act""). This bill provides $100 million for AFG-S to prevent, prepare for, and respond to coronavirus, domestically or internationally. Specifically, AFG-S funds shall be for the purchase of Personal Protective Equipment (PPE) and related supplies, including reimbursements for previously purchased PPE back to January 1, 2020. Pursuant to the Federal Fire Prevention and Control Act of 1974, as amended, the Administrator of FEMA is publishing this notice describing the AFG-S application process, deadlines, and award selection criteria. This notice explains the differences, if any, between these guidelines and those recommended by representatives of the national fire service leadership during a Criteria Development meeting, which was held April 20, 2020. The application period for the FY 2020 AFG-S Program opened on April 28, 2020, and will close on May 15, 2020, and was announced on the AFG website at: https://www.fema.gov/welcome-assistance-firefighters-grant- program, as well as at www.grants.gov.",85 FR 28028, 2020-10044,https://www.federalregister.gov/documents/2020/05/12/2020-10044/assistance-to-firefighters-grant-program-covid-19-supplemental-afg-s,https://www.govinfo.gov/content/pkg/FR-2020-05-12/pdf/2020-10044.pdf,05/12/2020
"National Flood Insurance Program: Conforming Changes To Reflect the Biggert-Waters Flood Insurance Reform Act of 2012 (BW-12) and the Homeowners Flood Insurance Affordability Act of 2014 (HFIAA), and Additional Clarifications for Plain Language",Rule,Homeland Security Department; Federal Emergency Management Agency,"This final rule revises the National Flood Insurance Program (NFIP) regulations to codify certain provisions of the Biggert-Waters Flood Insurance Reform Act of 2012 and the Homeowner Flood Insurance Affordability Act of 2014, and to clarify certain existing NFIP rules relating to NFIP operations and the Standard Flood Insurance Policy.",85 FR 43946, 2020-09260,https://www.federalregister.gov/documents/2020/07/20/2020-09260/national-flood-insurance-program-conforming-changes-to-reflect-the-biggert-waters-flood-insurance,https://www.govinfo.gov/content/pkg/FR-2020-07-20/pdf/2020-09260.pdf,07/20/2020
Assistance to Firefighters Grant Program,Notice,Homeland Security Department; Federal Emergency Management Agency,"This Notice describes the grant application process and the criteria for awarding grants in the fiscal year (FY) 2014 Assistance to Firefighters Grant Program (AFG) Program and announces the grant application deadline. It explains the differences, if any, between these guidelines and those recommended by representatives of the Nation's fire service leadership during the annual Criteria Development meeting, which was held January 8-9, 2014. The application period for the FY 2014 AFG Program year will be held November 3, 2014 through December 5, 2014, and will be announced on the AFG Web site (www.fema.gov/firegrants), www.grants.gov, and U.S. Fire Administration Web site (www.usfa.fema.gov). The AFG Program makes grants directly to fire departments, nonaffiliated emergency medical services (EMS) organizations, and state fire training academies for the purpose of enhancing the abilities of first responders to protect the health and safety of the public as well as that of first-responder personnel facing fire and fire-related hazards. It is anticipated that approximately 10,000 to 15,000 applications will be submitted electronically, using the online application submission form and process available at https:// portal.fema.gov. Before the application period, the ""FY 2014 AFG Funding Opportunity Announcement"" will be published on the AFG Web site (www.fema.gov/firegrants). Additional information to assist applicants will be provided on the AFG Web site, including a list of Frequently Asked Questions (FAQ), a ""Get Ready Guide,"" and a ""Quick Reference Guide."" In addition, the authorizing statute requires that a minimum of 10 percent of available funds be expended for fire prevention and safety grants to be made directly to local fire departments and to local, regional, State, or national entities recognized for their expertise in the fields of fire prevention and firefighter safety research and development.",79 FR 65679, 2014-26293,https://www.federalregister.gov/documents/2014/11/05/2014-26293/assistance-to-firefighters-grant-program,https://www.govinfo.gov/content/pkg/FR-2014-11-05/pdf/2014-26293.pdf,11/05/2014
